principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
heroic	<u><b>heroic</b></u>:heróico.	1. very brave.			heroico,(3)heróico	(1617)heróico	heróico	heroico	heroico	<b>heroic</b>  <b>1.</b> heroico <b>2.</b> heroico					brave, champion																																												[sound:7001-8000/howjsay/7001-8000-howjsay-heroic.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-heroic.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-heroic.mp3]				(hɪˈroʊ ɪk)	hɪˈrəʊɪk	hɪˈroʊ ɪk					"<span class=""ipa dipa"">hɪˈroʊ·ɪk</span>"		
facial	<u><b>facial</b></u>:facial.	1. of or on the face. <BR>2. a beauty treatment that cleans and improves the skin of the face with creams and gentle rubbing.						,facial	facial,limpeza de pele	<b>facial</b>  facial					external,in front, first,lead, beginning																													[sound:7001-8000/howjsay/7001-8000-howjsay-facial.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-facial.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-facial.mp3]				(ˈfeɪ ʃəl)	ˈfeɪʃəl	ˈfeɪ ʃəl																						
bummer	<u><b>bummer</b></u>:experiência triste.				(3)vadio	(107)chatice	chatice								bad experience																													[sound:7001-8000/howjsay/7001-8000-howjsay-bummer.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-bummer.mp3]					(ˈbʌm ər)	ˈbʌmə	ˈbʌm ər																						
solitary	<u><b>solitary</b></u>:só,solitário.	1. A solitary person or thing is the only person or thing in a place. <BR>2. A solitary activity is done alone.	"01.  <font color=""#00aaff""><u>(of a place)</font></u> unfrequented."		(3)solitário	(1677)solitário	solitário	solitário	único,solitário	<b>solitary</b>  <b>1.</b> solitário <b>2.</b> solitário <b>3.</b> único					alone, single; unsociable																																												[sound:7001-8000/howjsay/7001-8000-howjsay-solitary.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-solitary.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-solitary.mp3]				(ˈsɒl ɪˌtɛr i)	ˈsɒlɪtərɪ	ˈsɒl ɪˌtɛr i					"<span class=""ipa dipa"">ˈsɑl·ɪˌter·i</span>"		
shuttle	<u><b>shuttle</b></u>:lançadeira,serviço de traslado.	1. a vehicle or aircraft that travels regularly between two places. <BR>2. in weaving, a device that is used to carry the thread that goes across the cloth between the threads that go down the cloth.			(2)lançadeira,transporte,(2)canela	(492)ônibus,(850)transportar,(784)vaivém,(297)nave auxiliar	ônibus,lançadeira,vaivém,transporte		transporte regular,ponte aérea,lançadeira	<b>shuttle</b>  <b>1.</b> lançadeira <b>2.</b> naveta <b>3.</b>  circular/ponte aérea					space shuttle,travel back and forth																													[sound:7001-8000/howjsay/7001-8000-howjsay-shuttle.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-shuttle.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-shuttle.mp3]				(ˈʃʌt l)	ʃʌtl	ˈʃʌt l					"<span class=""ipa dipa"">ˈʃʌt̬-</span>"																	
resignation	<u><b>resignation</b></u>:demissão,renúncia,pedido de demissão,conformação,exoneração.	1. the act of telling your employer that you are leaving your job. <BR>2. the act of accepting something bad because you cannot change it.	"01.  <font color=""#00aaff""><u>(Industrial Relations & HR Terms)</font></u> the act of resigning."		(3)demissão,(3)renúncia,(3)resignação	(554)resignação,(1474)demissão,(897)renúncia	·exoneração,demissão,renúncia,·resignação	·exoneração,demissão,·resignação	renúncia,demissão,resignação	<b>resignation</b>  <b>1.</b> resignação <b>2.</b>  carta de demissão <b>3.</b>  resignação					relinquishment of responsibility,endurance, passivity																													[sound:7001-8000/howjsay/7001-8000-howjsay-resignation.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-resignation.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-resignation.mp3]				(ˌrɛz ɪgˈneɪ ʃən)	rezɪgˈneɪʃn	ˌrɛz ɪgˈneɪ ʃən					"<span class=""ipa dipa"">ˌrez·ɪɡˈneɪ·ʃən</span>"																	
pursuing	<u><b>pursuing</b></u>:perseguindo,aspirando.				perseguindo	(167)prossecução,(296)perseguir,(273)perseguindo,(200)prosseguir	perseguir,prosseguir								out for																													[sound:7001-8000/howjsay/7001-8000-howjsay-pursuing.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-pursuing.mp3]						pəˈsjuː	pərˈsu																						
pod	<u><b>pod</b></u>:vagem. <u><b>to pod</b></u>:descascar vagem,produzir vagens.	1. the long, flat part of some plants that has seeds in it.	"01.  <font color=""#00aaff""><u>(Botany)</font></u> any similar fruit.<BR>02.  <font color=""#00aaff""><u>(Commerce)</font></u> pay on delivery.<BR>03.  <font color=""#00aaff""><u>(Computer Science)</font></u> print on demand.<BR>04.  <font color=""#00aaff""><u>(Tools)</font></u> the socket that holds the bit in a boring tool."		(3)vagem	(620)cápsula	vagem,cápsula	vagem	vagem	<b>pod</b>   vagem					encasement of vegetable seeds																													[sound:7001-8000/howjsay/7001-8000-howjsay-pod.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-pod.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-pod.mp3]				(pɒd)	pɒd	pɒd					"<span class=""ipa dipa"">pɑd</span>"																	
mortgage	<u><b>mortgage</b></u>:hipoteca. <u><b>to mortgage</b></u>:hipotecar,penhorar.	1. money that you borrow to buy a home. <BR>2. to borrow money to buy a house or apartment.	"01.  <font color=""#00aaff""><u>(Banking & Finance)</font></u> the deed effecting such an agreement.<BR>04.  To pledge <font color=""#00aaff""><u>(real property)</font></u> as the security for a loan."		(3)hipoteca,(3)hipotecar	(1985)hipoteca	hipoteca,hipotecar	hipoteca,hipotecar	hipoteca,hipotecar	<b>mortgage</b>   hipoteca   hipotecar					loan agreement																													[sound:7001-8000/howjsay/7001-8000-howjsay-mortgage.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-mortgage.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-mortgage.mp3]				(ˈmɔr gɪdʒ)	ˈmɔːgɪʤ	ˈmɔr gɪdʒ					"<span class=""ipa dipa"">ˈmɔr·ɡɪdʒ</span>"																	
honors	<u><b>honors</b></u>:figuras,distinção.				(3)honras	(369)honra	homenagens,honras,honra,·honrarias	,honras,homenagens,·honrarias							respect,integrity,praise, award,recognize, treat with respect																													[sound:7001-8000/howjsay/7001-8000-howjsay-honors.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-honors.mp3]					(ˈɒn ər)	ˈɒnə	ˈɒn ər																						
flashes					pisca		afrontamentos	,afrontamentos							shimmer, flicker,instant, split second,demonstration,move fast and display																													[sound:7001-8000/howjsay/7001-8000-howjsay-flashes.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-flashes.mp3]						flæʃ	flæʃ																						
cargo	<u><b>cargo</b></u>:carga,carregamento,frete.	1. things that are carried in a vehicle or ship.			(3)carga	(4958)carga	·mercadorias,carga	·mercadorias,carga	carregamento	<b>cargo</b> carga	"<div> <font color=""#c7c7c7""><i><u><b></b></u></i></font>  carga;  carregamento</div>"				baggage; something to be delivered																													[sound:7001-8000/howjsay/7001-8000-howjsay-cargo.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-cargo.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-cargo.mp3]				(ˈkɑr goʊ)	ˈkɑːgəʊ	ˈkɑr goʊ					"<span class=""ipa dipa"">ˈkɑr·ɡoʊ</span>"	ˈkɑːɡəʊ																
acquainted	<u><b>acquainted</b></u>:familiarizada.	1. If you are or get acquainted with something, you know about it or gradually learn more about it. <BR>2. If you are acquainted with someone, you have met them but do not know them well. <BR>3. If you get acquainted with someone, you gradually get to know them better.			(2)familiar,(2)conhecido,familiarizado	(216)conhecer,(212)familiarizado	conhecer,familiarizado	familiarizado	conhecer algo/inteirar-se de algo,conhecer alguém/algo,conhecer-se,(vir a) conhecer alguém						aware			01. familiar with something, having read, seen or experienced it<BR>02. not close friends with somebody, but having met a few times before								"01. <font color=""#c7c7c7""><i>familiar with something, having read, seen or experienced it</i></font><br><font color=""#c7c7c7""><i>familiarizado com algo, Tendo lido, visto ou experimentado</i></font><br><b>""The students are already <font color=""#ff0000"">acquainted</font> with the work of Shakespeare.""</b><br><i>""Os alunos já estão familiarizados com a obra de Shakespeare.""</i><br><br><b>""Employees should be fully <font color=""#ff0000"">acquainted</font> with emergency procedures.""</b><br><i>""Os trabalhadores devem estar plenamente familiarizados com os procedimentos de emergência.""</i><br><br>02. <font color=""#c7c7c7""><i>not close friends with somebody, but having met a few times before</i></font><br><font color=""#c7c7c7""><i>não somos amigos íntimos de alguém, mas já nos encontramos algumas vezes antes.</i></font><br><b>""We got <font color=""#ff0000"">acquainted</font> at the conference (= met and started to get to know each other).""</b><br><i>""Nós nos conhecemos na conferência (=nos conhecemos e começamos a nos conhecer).""</i><br><br><b>""I am well <font color=""#ff0000"">acquainted</font> with her family.""</b><br><i>""Conheço bem a família dela.""</i><br>"																		[sound:7001-8000/howjsay/7001-8000-howjsay-acquainted.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-acquainted.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-acquainted.mp3]					əˈkweɪntɪd,əˈkweɪnt	əˈkweɪn tɪd					"<span class=""ipa dipa"">əˈkweɪn·t̬ɪd</span>"																	
wrapping	<u><b>wrapping</b></u>:embalagem,papel de embrulho,invólucro.	1. paper or plastic that is used to cover and protect something.			(2)invólucro,(2)envoltório	(185)embrulho,(67)embrulhar,(94)acondicionamento,(131)embalagem	embrulhar,acondicionamento,embalagem,invólucro,·embrulho	papel de embrulho,·embrulho,embalagem	envoltório,invólucro,papel de embrulho	<b>wrapping</b>  papel de embrulho					surround with a covering																													[sound:7001-8000/howjsay/7001-8000-howjsay-wrapping.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-wrapping.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-wrapping.mp3]				(ˈræp ɪŋ)	ræp,ˈræpɪŋ	ˈræp ɪŋ					"<span class=""ipa dipa"">ˈræp·ɪŋ</span>"																	
untie	<u><b>to untie</b></u>:desligar.	1. to undo a knot or something that has been tied with a knot.	"01.  <font color=""#00aaff""><u>(tr)</font></u> to free from constraint or restriction.<BR>03.  To straighten out <font color=""#00aaff""><u>(difficulties, for example)</font></u>; resolve.<BR>04.  To undo or loosen <font color=""#00aaff""><u>(a knot or something knotted)</font></u>."		(3)desamarrar,(3)desatar	(285)desamarrar,(186)soltar,(145)desatar	desfazer,·soltar,desamarrar,desvinculado,desatar	desatar,·soltar,desvinculado	desfazer,desamarrar,desatar	<b>untie</b>  desamarrar					unlace,loosen a fastening																													[sound:7001-8000/howjsay/7001-8000-howjsay-untie.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-untie.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-untie.mp3]				(ʌnˈtaɪ)	ʌnˈtaɪ	ʌnˈtaɪ					"<span class=""ipa dipa"">ʌnˈtɑɪ</span>"																	
resign	<u><b>to resign</b></u>:renunciar,resignar,demitir-se,resignar-se,abrir mão de,exonerar-se,pedir demissão.	1. to officially tell your employer that you are leaving your job.	"01.  <font color=""#00aaff""><u>(Industrial Relations & HR Terms)</font></u> <font color=""#00aaff""><u>(when.<BR>02.  <font color=""#00aaff""><u>(tr)</font></u> to give up <font color=""#00aaff""><u>(a right, claim, etc)</font></u>; relinquish.<BR>03.  <font color=""#00aaff""><u>(tr)</font></u> to reconcile <font color=""#00aaff""><u>(oneself)</font></u> to; yield.<BR>04.  To give up <font color=""#00aaff""><u>(an office, position, etc.)</font></u>, often formally.<BR>05.  To give up an office or position <font color=""#00aaff""><u>(often fol. by from)</font></u>.<BR>06.  To submit <font color=""#00aaff""><u>(oneself)</font></u> passively; accept as inevitable."		(3)resignar	(659)renunciar	renunciar,resignar	renunciar	renunciar,demitir-se	<b>resign</b>  <b>1.</b>  demitir-se <b>2.</b> <b>with</b> <b>to</b>  resignar-se					give up responsibility																													[sound:7001-8000/howjsay/7001-8000-howjsay-resign.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-resign.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-resign.mp3]				(rɪˈzaɪn)	riːˈsaɪn	rɪˈzaɪn					"<span class=""ipa dipa"">rɪˈzɑɪn</span>"																	
realised					(3)realizado,percebi	(293)realizado,(452)percebeu,(161)percebi que,(164)perceberam	realizado,percebeu	,realizado																																				[sound:7001-8000/howjsay/7001-8000-howjsay-realised.mp3]							ˈrɪəlaɪz,ˈrɪəlaɪzd																							
priceless	<u><b>priceless</b></u>:inestimável,incalculável,impagável,inapreciável.	1. very valuable.			(3)impagável,(3)inestimável	(424)inestimável	inestimável,impagável,·precioso	·precioso,inestimável	de valor incalculável	<b>priceless</b>  <b>1.</b> sem preço <b>2.</b> divertidíssimo					precious, irreplaceable,extremely funny																													[sound:7001-8000/howjsay/7001-8000-howjsay-priceless.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-priceless.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-priceless.mp3]				(ˈpraɪs lɪs)	ˈpraɪslɪs	ˈpraɪs lɪs					"<span class=""ipa dipa"">ˈprɑɪs·ləs</span>"																	
pike	<u><b>pike</b></u>:ponta	1. a large fish that lives in lakes and rivers and eats other fish. <BR>2. a long sharp stick used in the past as a weapon by soldiers on foot.	"01.  <font color=""#00aaff""><u>(Animals)</font></u> any of various similar fishes."		(3)lúcio,(3)pique		lúcio,pique		lúcio,pique	<b>pike</b>  lúcio					highway																													[sound:7001-8000/howjsay/7001-8000-howjsay-pike.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-pike.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-pike.mp3]				(paɪk)	paɪk	paɪk																						
lightly	<u><b>lightly</b></u>:levemente.	1. gently, without force. <BR>2. not much.			(3)levemente,(3)ligeiramente	(552)levemente	levemente,ligeiramente		levemente	<b>lightly</b>  levemente					gently, effortlessly																													[sound:7001-8000/howjsay/7001-8000-howjsay-lightly.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-lightly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-lightly.mp3]				(ˈlaɪt li)	ˈlaɪtlɪ	ˈlaɪt li					"<span class=""ipa dipa"">ˈlɑɪt·li</span>"																	
keen	<u><b>keen</b></u>:agudo,perspicaz,interessado,entusiasmado,atento,disposto,aguçado,intenso,apurado,ansioso,empolgado,afiado,acirrado,baixo,disposta. <u><b>keen</b></u>:lamento,arguto. <u><b>to keen</b></u>:lamentar-se.	1. liking something very much. <BR>2. wanting to do something very much. <BR>3. very good.			(3)afiado		afiado,entusiasmado,·interesse	,·interesse	entusiasmado,aficionado,apaixonado,estusiasmado,aguçado,agudo	<b>keen</b>  <b>1.</b> entusiasta <b>2.</b> agudo <b>3.</b>  penetrante					enthusiastic,sharp, piercing,intelligent																													[sound:7001-8000/howjsay/7001-8000-howjsay-keen.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-keen.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-keen.mp3]				(kin)	kiːn	kin					"<span class=""ipa dipa"">kiːn</span>"																	
glowing	<u><b>glowing</b></u>:afogueado,elogioso,iluminado,incandescente,brilhante,corado,entusiasmado.	1. praising someone a lot.	"02.  <font color=""#00aaff""><u>(Colours)</font></u> warm and rich in colour.<BR>"		(3)brilhante,brilhando	(376)brilhante	·incandescente,·resplandecente,brilhante	brilhante,·incandescente,·resplandecente	brilhante	<b>glowing</b> &nbsp;brilhante&nbsp;</div><div>					burning, bright,very happy, enthusiastic																													[sound:7001-8000/howjsay/7001-8000-howjsay-glowing.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-glowing.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-glowing.mp3]				(ˈgloʊ ɪŋ)	gləʊ,ˈgləʊɪŋ	ˈgloʊ ɪŋ					"<span class=""ipa dipa"">ˈɡloʊ·ɪŋ</span>"																	
flowing	<u><b>flowing</b></u>:fluente,corredio,fluido,esvoaçante. <u><b>flowing</b></u>:corrente.	1. produced in a smooth, continuous, or relaxed style. <BR>2. Flowing hair and clothes are long and hang down loosely.	"01.  <font color=""#00aaff""><u>(of liquids)</font></u> moving as in a stream.<BR>02.  <font color=""#00aaff""><u>(of tide water)</font></u> advancing or rising."		fluindo,(2)corrente,(2)fluido,(2)fluente	(543)fluindo	corrente,fluido,fluente,esvoaçante	corrente	fluido,esvoaçante						gushing, abounding																													[sound:7001-8000/howjsay/7001-8000-howjsay-flowing.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-flowing.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-usfloor022.mp3]				(ˈfloʊ ɪŋ)	fləʊ,ˈfləʊɪŋ	ˈfloʊ ɪŋ					"<span class=""ipa dipa"">ˈfloʊ-</span>"																	
antidote	<u><b>antidote</b></u>:antídoto	1. a chemical, especially a drug, that limits the effects of a poison. <BR>2. a way of preventing or acting against something bad.			(3)antídoto	(1821)antídoto	antídoto	antídoto	antídoto	<b>antidote</b>    antídoto					counteracting agent																													[sound:7001-8000/howjsay/7001-8000-howjsay-antidote.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-antidote.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus70254.mp3]				(ˈæn tɪˌdoʊt)	ˈæntɪdəʊt	ˈæn tɪˌdoʊt					"<span class=""ipa dipa"">-t̬i.doʊt</span>"																	
allowance	<u><b>allowance</b></u>:pensão,desconto,compensação,concessão,tolerância,mesada. <u><b>to allowance</b></u>:racionar.	1. an amount of something such as money that you are allowed to have every day, week, month, etc. <BR>2. an amount of money that parents give to a child each week. <BR>3. to remember that someone has a disadvantage that is not their fault when you are judging their behaviour or work.	<BR>		(2)abono,(2)pensão,(2)permissão,(2)mesada	(1009)subsídio,(505)mesada	subsídio,abono,mesada,·provisão	subsídio,·provisão	auxílio,pensão,dose,dinheiro para pequenos gastos,mesada,fazer concessão a alguém,levar algo em consideração	<b>allowance</b>  <b>1.</b> mesada <b>2.</b>  margem <b>make allowance for</b>  levar em conta	"1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  (dinheiro) pensão, rendimento<br>2. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  mesada, semanada<br>3. <font color=""#c7c7c7""><i><u><b> MILITAR</b></u></i></font>  ajudas de custo<br>4. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  permissão, tolerância, concessão, licença<br>5. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  desconto<br>6. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  franquia<br>1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  estabelecer um subsídio para;  conceder um subsídio a<br>"				amount of money or other supply,discount; concession			01. an amount of money that is given to somebody regularly or for a particular purpose<BR>02. the amount of something that is allowed in a particular situation<BR>03. a small amount of money that parents give their children, usually every week or every month<BR>04. an amount of money that can be earned or received before you start paying tax				"01. <font color=""#c7c7c7""><i>Something allowed as a share; specif., an amount of money, food, etc. given regularly to a child, dependent, etc. or to military personnel for a specific purpose</i></font><br><font color=""#c7c7c7""><i>Algo permitido como uma partilha; specif., uma quantidade de dinheiro, comida, etc. administrado regularmente a uma criança, a cargo, etc. ou a militares para fins específicos</i></font><br><b>""Travel <font color=""#ff0000"">allowance</font>""</b><br><i>""Subsídio de viagem""</i><div><i><br></i>02. <font color=""#c7c7c7""><i>The act of allowing, permitting, admitting, etc.</i></font><br><font color=""#c7c7c7""><i>O ato de permitir, permitir, admitir, etc.</i></font><br><b>""The <font color=""#ff0000"">allowance</font> of a claim""</b><br><i>""O subsídio de um pedido""</i></div>"				"01. <font color=""#c7c7c7""><i>an amount of money that is given to somebody regularly or for a particular purpose</i></font><br><font color=""#c7c7c7""><i>uma quantidade de dinheiro que é dada a alguém regularmente ou para um propósito específico</i></font><br><b>""an <font color=""#ff0000"">allowance</font> of $20 a day""</b><br><i>""uma mesada de $ 20 por dia""</i><br><br><b>""a clothing/living/travel <font color=""#ff0000"">allowance</font>""</b><br><i>""um subsídio de vestuário/vida/viagem""</i><br><br><b>""Do you get an <font color=""#ff0000"">allowance</font> for clothing?""</b><br><i>""Recebes uma mesada por Roupa?""</i><br><br><br>02. <font color=""#c7c7c7""><i>the amount of something that is allowed in a particular situation</i></font><br><font color=""#c7c7c7""><i>a quantidade de algo que é permitido em uma situação particular</i></font><br><b>""a baggage <font color=""#ff0000"">allowance</font> of 20 kilos""</b><br><i>""um subsídio de bagagem de 20 quilos""</i><br><br><b>""Roman soldiers received a salt <font color=""#ff0000"">allowance</font>, called salarium, the origin of the word salary.""</b><br><i>""Os soldados romanos receberam um subsídio de sal, chamado salário, a origem da palavra salário.""</i><br><br><b>""The recommended daily <font color=""#ff0000"">allowance</font> of vitamin C is 60–90 milligrams.""</b><br><i>""A dose diária recomendada de vitamina C é de 60-90 miligramas.""</i><br><br><br>03. <font color=""#c7c7c7""><i>an amount of money that can be earned or received before you start paying tax</i></font><br><font color=""#c7c7c7""><i>uma quantidade de dinheiro que pode ser ganho ou recebido antes de começar a pagar imposto</i></font><br><b>""personal tax <font color=""#ff0000"">allowances</font>""</b><br><i>""franquias fiscais pessoais""</i><br>"																		[sound:7001-8000/howjsay/7001-8000-howjsay-allowance.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-allowance.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-allowance.mp3]				(əˈlaʊ əns)	əˈlaʊəns	əˈlaʊ əns		əlaʊəns, əˈlaʊəns			"<span class=""ipa dipa"">əˈlɑʊ·əns</span>"	əˈlaʊəns																
adjourned			"01.  <font color=""#00aaff""><u>(intr)</font></u> <font color=""#00aaff""><u>(of a court, etc)</font></u> to close at the end of a session.<BR><BR><BR>01.  To defer or postpone <font color=""#00aaff""><u>(a meeting)</font></u> to a later time.<BR>02.  To defer or postpone <font color=""#00aaff""><u>(a matter)</font></u> to a future time."		(3)adiado	(106)adiado,(67)encerrado,(78)suspenso	suspenso				"<div>1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  adiar<BR>2. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  suspender, levantar a sessão<BR>3. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  ir para;  passar para</div>"				stop a proceeding							"01. <font color=""#c7c7c7""><i>To close a session or meeting for a time</i></font><br><font color=""#c7c7c7""><i>Para fechar uma sessão ou reunião por um tempo</i></font><br><b>""Congress <font color=""#ff0000"">adjourned</font> for the summer""</b><br><i>""Congresso suspenso para o verão""</i><div><i><br></i>02. <font color=""#c7c7c7""><i>To move from a place of meeting (to another place)</i></font><br><font color=""#c7c7c7""><i>Para mudar de um local de reunião (para outro lugar)</i></font><br><b>""Let's <font color=""#ff0000"">adjourn</font> to the patio""</b><br><i>""Vamos para o pátio.""</i></div><div><i><br></i>03. <font color=""#c7c7c7""><i>To put off or suspend until a future time</i></font><br><font color=""#c7c7c7""><i>Adiar ou suspender até uma hora futura</i></font><br><b>""To <font color=""#ff0000"">adjourn</font> a meeting""</b><br><i>""Adiar uma reunião""</i></div>"																						[sound:7001-8000/howjsay/7001-8000-howjsay-adjourned.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-adjourned.mp3]					(əˈdʒɜrn)	əˈʤɜːn	əˈdʒɜrn		ədʒɜrn, ədˈʒɜrn, əˈdʒɜrn, əˈdʒɜːn				əˈdʒɜːn																
unto			"02.  To <font color=""#00aaff""><u>(except to indicate the infinitive)</font></u>."		até	(748)até,(1401)para	até,para	,até		<b>unto</b>  até / por / para					to																													[sound:7001-8000/howjsay/7001-8000-howjsay-unto.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-unto.mp3]					(ˈʌn tu; unstressed -tə)	ˈʌntuː	"ˈʌn tu; <span class=""luna-label italic"">unstressed</span> ˈʌn tə"																						
tucked	<u><b>tucked</b></u>:dobrado.				(2)arregaçar,dobrado,(2)meter	(49)enfiado,(37)dobrado,(114)escondido,(60)escondida	escondida,meter								fold together																													[sound:7001-8000/howjsay/7001-8000-howjsay-tucked.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-tucked.mp3]						tʌkt,tʌk	tʌk																						
touchy	<u><b>touchy</b></u>:delicado,melindroso,sensível.	1. easily offended or upset. <BR>2. needing to be dealt with carefully.			(2)suscetível,melindroso,(2)desconfiado,(2)irritável	(186)sensível	sensível,delicado	sensível	sensível,delicado	<b>touchy</b>  melindroso					easily offended																													[sound:7001-8000/howjsay/7001-8000-howjsay-touchy.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-touchy.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-touchy.mp3]				(ˈtʌtʃ i)	ˈtʌʧɪ	ˈtʌtʃ i																						
toll	<u><b>toll</b></u>:preço,taxa,portagem,pedágio. <u><b>to toll</b></u>:anunciar,repicar,dobrar sino.	1. a small amount of money that you have to pay to use a road, cross a bridge, etc. <BR>2. the money a long-distance phone call costs. <BR>3. suffering, deaths, or damage. <BR>4. to (cause a large bell to) ring slowly and repeatedly.	"01.  <font color=""#00aaff""><u>(Historical Terms)</font></u> Also called.<BR>02.  <font color=""#00aaff""><u>(Hunting)</font></u> US and Canadian to decoy <font color=""#00aaff""><u>(game, esp ducks)</font></u>.<BR>03.  <font color=""#00aaff""><u>(tr)</font></u> to summon, warn, or announce by tolling.<BR>09. 20. To sound <font color=""#00aaff""><u>(a large bell)</font></u> slowly at regular intervals."		(3)portagem,(3)pedágio	(752)portagem,(380)pedágio,(152)preço,(215)número	portagem	soar,portagem,pedágio	pedágio,portagem,tarifa interurbana,custo,dano,número de vítimas,badalar,soar	<b>toll</b>  <b>1.</b>   pedágio <b>2.</b>  preço					fee,damage, deaths,ring out																													[sound:7001-8000/howjsay/7001-8000-howjsay-toll.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-toll.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-toll.mp3]				(toʊl)	təʊl	toʊl					"<span class=""ipa dipa"">toʊl</span>"																	
screws					parafusos	(1402)parafusos	parafusos								twist in,twist, contort,pressure																													[sound:7001-8000/howjsay/7001-8000-howjsay-screws.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-screws.mp3]						skruː	skru																						
sarge	<u><b>sarge</b></u>:sargento	1. informal for  sergeant .			sargento	(1690)sargento	sargento		sargento																																			[sound:7001-8000/howjsay/7001-8000-howjsay-sarge.mp3]		[sound:7001-8000/cambridge/7001-8000-cambridge-ussange019.mp3]					sɑːʤ						"<span class=""ipa dipa"">sɑːrdʒ</span>"																	
nerd	<u><b>nerd</b></u>:nerd	1. a person, especially a man, who is not attractive and is awkward or socially embarrassing. <BR>2. a person who is extremely interested in one subject, especially computers, and knows a lot of facts about it.						,nerd	nerd,cromo,obcecado,-a						geek																																												[sound:7001-8000/howjsay/7001-8000-howjsay-nerd.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-nerd.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-nerd.mp3]				(nɜrd)		nɜrd					"<span class=""ipa dipa"">nɝːd</span>"		
